transaction_id,investor_id,scheme_code,transaction_date,transaction_type,amount,units,kyc_status,state
TXN10028,INV5074,119062,2025/11/27,redeem,15902.28,433.2609,Verified,Haryana
TXN10029,INV5189,125497,12/03/26,SIP,,,no,Kerala
TXN10030,INV5136,120503,2022/04/27,Sip,7317.87,454.0614,yes,Gujarat
TXN10031,INV5031,118632,2025/03/31,SIP,42212.88,675.0766,N,West Bengal
TXN10032,INV5067,118632,03/10/25,Lumpsum,13522.39,198.581,no,West Bengal
TXN10033,INV5193,119551,01/20/2022,REDEMPTION,99611.6,6003.0621,yes,Kerala
TXN10034,INV5068,120503,2023-12-16,Lumpsum,16195.81,190.4559,PENDING,Uttar Pradesh
TXN10035,INV5157,125497,2025/09/29,lumpsum,10806.86,121.3825,Y,Delhi
TXN10036,INV5028,120503,12/07/23,REDEMPTION,34616.59,481.6239,Y,Kerala
TXN10037,INV5126,119092,2022-04-15,redeem,28029.68,2716.288,InvalidStatus,Karnataka
TXN10038,INV5164,119092,11/27/2022,redemption,56310.23,2805.8804,PENDING,Karnataka
TXN10039,INV5140,125497,2024/01/27,redemption,13180.83,349.2235,InvalidStatus,Maharashtra
TXN10040,INV5092,118632,28-10-2025,redeem,78121.57,872.1639,failed,Haryana
TXN10041,INV5192,120503,30-04-2023,Redemp,88200.91,7211.3932,PENDING,West Bengal
TXN10042,INV5106,118632,01-07-2023,Redemp,38562.9,2859.643,no,Tamil Nadu
TXN10043,INV5052,119777,18/12/23,Redemp,22680.89,326.7999,failed,West Bengal
TXN10044,INV5072,119551,03/05/26,Lumpsum ,40268.0,409.6295,N,West Bengal
TXN10045,INV5008,119551,19-06-2023,REDEMPTION,26913.9,1362.2994,failed,West Bengal
TXN10046,INV5187,120841,2024/06/12,redemption,90000.72,3320.1912,Verified,Andhra Pradesh
TXN10047,INV5112,125497,2024/11/30,redeem,74324.03,1056.3908,Failed,Gujarat
TXN10048,INV5018,120841,30/06/25,redeem,72115.55,1947.5422,Y,Rajasthan
TXN10049,INV5105,120841,04/04/24,redemption,42334.41,447.3548,pending,Andhra Pradesh
TXN10050,INV5045,119092,2024/04/11,SIP,21413.18,265.2829,Pending,Rajasthan
TXN10051,INV5083,119777,06/23/2024,redeem,47582.03,522.2695,InvalidStatus,Andhra Pradesh
TXN10052,INV5044,119551,2023/08/05,redeem,33851.23,404.6377,InvalidStatus,Tamil Nadu
TXN10053,INV5173,119092,06-04-2023,sip,0.0,,yes,Telangana
TXN10054,INV5157,119551,07/21/2024,redeem,71975.42,1615.3176,failed,Tamil Nadu
TXN10055,INV5038,125497,2026-03-18,Redemp,18000.72,187.0847,N,Telangana
TXN10056,INV5013,118632,09/06/2022,sip,66923.98,676.6127,Pending,West Bengal
TXN10057,INV5194,119777,2025/06/08,LUMP_SUM,55013.26,606.2152,PENDING,Telangana
TXN10058,INV5116,119092,20-03-2026,redeem,77878.65,1452.5878,yes,Uttar Pradesh
TXN10059,INV5113,119551,01/01/26,Lumpsum,32311.1,551.2551,VERIFIED,Karnataka
TXN10060,INV5060,119062,22-11-2025,REDEEM,41779.36,1050.2782,no,Gujarat
TXN10061,INV5016,118632,05/10/2024,Redemp,69704.54,800.2277,InvalidStatus,Haryana
TXN10062,INV5098,119777,13/01/22,lumpsum,85418.07,891.5479,failed,Kerala
TXN10063,INV5192,118632,26-09-2024,lumpsum,3387.97,84.1697,pending,Gujarat
TXN10064,INV5186,120503,15-08-2024,REDEMPTION,90739.42,1434.1539,pending,Maharashtra
TXN10065,INV5022,119062,10/05/2022,sip,,,failed,West Bengal
TXN10066,INV5055,119777,01/11/23,Redemp,28186.53,294.8124,failed,Uttar Pradesh
TXN10067,INV5021,119777,2022/02/09,SIP,35321.05,515.5382,InvalidStatus,Rajasthan
TXN10068,INV5011,125497,22-05-2023,SIP,24235.22,460.5662,verified,Haryana
TXN10069,INV5056,119777,03/12/25,Redemp,60786.32,628.3725,PENDING,Delhi
TXN10070,INV5200,120503,2023-09-30,REDEMPTION,0.0,,Y,Haryana
TXN10071,INV5174,119062,23-03-2024,Sip,83141.88,2609.892,PENDING,Uttar Pradesh
TXN10072,INV5176,119551,2025-03-05,Lumpsum ,66321.37,4092.3692,pending,West Bengal
TXN10073,INV5004,119062,2024-09-30,LUMP_SUM,63740.72,753.582,PENDING,Karnataka
TXN10074,INV5112,120503,2026/02/11,redeem,80915.82,1384.7017,no,Telangana
TXN10075,INV5112,119092,23-10-2023,Sip,45354.8,584.8997,Pending,Haryana
TXN10076,INV5172,119062,2023-11-20,Redemption,18593.07,639.1395,InvalidStatus,Uttar Pradesh
TXN10077,INV5088,119092,05/05/25,redemption,0.0,,yes,Delhi
TXN10078,INV5062,119062,2024/09/27,Redemp,47871.26,646.3341,no,Maharashtra
TXN10079,INV5024,119092,03/30/2023,REDEEM,66564.02,1540.4116,N,Kerala
TXN10080,INV5089,119062,2026/03/08,Lumpsum ,45647.65,1214.1602,yes,Delhi
TXN10081,INV5185,118632,2023-10-09,REDEEM,76337.87,2863.0116,yes,Andhra Pradesh
TXN10082,INV5124,119092,2026/01/23,Redemp,28658.37,1504.5857,yes,Uttar Pradesh
TXN10083,INV5059,120841,03/01/23,SIP,13095.0,928.9597,Verified,Kerala
TXN10084,INV5075,120503,07/30/2025,Sip,57619.39,1102.8537,no,West Bengal
TXN10085,INV5048,125497,06/02/2023,Sip,40370.39,2422.1175,pending,Rajasthan
TXN10086,INV5014,120503,2022/11/02,lumpsum,25195.0,418.3369,failed,Haryana
TXN10087,INV5153,118632,2026/05/08,LUMP_SUM,44550.74,509.6464,failed,Uttar Pradesh
TXN10088,INV5146,125497,2025-06-02,Redemp,21497.01,309.5833,VERIFIED,Tamil Nadu
TXN10089,INV5045,119551,2022-11-17,LUMP_SUM,59584.21,1645.3665,yes,Uttar Pradesh
TXN10090,INV5181,119092,12/10/2025,Sip,92429.15,1142.4473,pending,Haryana
TXN10091,INV5170,118632,2024-05-20,redemption,15324.45,451.9564,VERIFIED,Delhi
TXN10092,INV5016,120503,2023/09/22,REDEEM,92158.66,1860.896,no,Andhra Pradesh
TXN10093,INV5078,119062,2023/07/12,redemption,8503.96,625.8678,failed,Andhra Pradesh
TXN10094,INV5083,119092,2022-02-22,Lumpsum,83677.88,1354.7142,Verified,Rajasthan
TXN10095,INV5069,125497,12-04-2026,Redemption,44501.83,1270.2436,Pending,Gujarat
TXN10096,INV5163,119777,07/06/2022,Lumpsum ,32445.3,1671.233,VERIFIED,West Bengal
TXN10097,INV5106,119777,08/14/2023,Redemp,45755.18,1194.4481,Failed,Delhi
TXN10098,INV5198,119062,2024-11-19,redeem,46466.65,3123.1013,N,West Bengal
TXN10099,INV5160,119777,07/04/2025,Redemp,,,Y,Kerala
TXN10100,INV5034,119092,06/16/2024,Sip,0.0,,pending,Haryana
TXN10101,INV5062,120503,2023/09/29,SIP,9774.32,98.4291,verified,Telangana
TXN10102,INV5031,120503,17/10/24,redemption,41841.29,783.1787,no,Tamil Nadu
TXN10103,INV5117,120503,25-02-2024,REDEMPTION,87992.96,1002.6268,Y,Gujarat
TXN10104,INV5088,119092,06/01/22,REDEEM,58900.3,589.5855,no,Karnataka
TXN10105,INV5115,119777,08/12/23,redemption,38032.4,404.7864,yes,Andhra Pradesh
TXN10106,INV5062,119062,04/24/2023,SIP,47561.14,515.7988,failed,Gujarat
TXN10107,INV5170,120503,2024-10-11,sip,59222.95,670.9065,no,Delhi
TXN10108,INV5135,119777,01-02-2022,LUMP_SUM,97010.7,5797.0333,InvalidStatus,Uttar Pradesh
TXN10109,INV5087,119062,2025-08-23,Lumpsum ,86004.55,1945.7671,Failed,Rajasthan
TXN10110,INV5184,119777,2025-01-13,REDEMPTION,,,pending,Rajasthan
TXN10111,INV5074,118632,2026-03-10,LUMP_SUM,76156.78,1038.2631,verified,Telangana
TXN10112,INV5043,119092,2022-03-01,Lumpsum ,29690.09,678.8525,VERIFIED,Tamil Nadu
TXN10113,INV5136,119062,05-03-2025,sip,61144.43,1376.2283,pending,Tamil Nadu
TXN10114,INV5128,120503,04/21/2023,redeem,25905.01,2388.49,InvalidStatus,Telangana
TXN10115,INV5074,120503,06/01/2022,Lumpsum ,30265.85,313.3675,PENDING,Uttar Pradesh
TXN10116,INV5117,119092,02/12/2023,Redemption,38445.75,908.7471,Y,Andhra Pradesh
TXN10117,INV5076,125497,09/10/2025,lumpsum,0.0,,pending,Andhra Pradesh
TXN10118,INV5013,119777,10-08-2023,REDEMPTION,22290.95,822.1839,Y,Rajasthan
TXN10119,INV5194,120503,2025-07-10,redeem,31238.82,628.8756,Pending,West Bengal
TXN10120,INV5188,120503,04/07/22,Lumpsum ,17976.19,821.0412,N,West Bengal
TXN10121,INV5136,119092,03/12/22,Redemption,29866.57,338.103,InvalidStatus,Delhi
TXN10122,INV5120,119551,16-10-2022,redeem,98004.25,1009.7881,InvalidStatus,Kerala
TXN10123,INV5094,119551,2024-03-19,lumpsum,45751.21,648.4515,pending,Uttar Pradesh
TXN10124,INV5150,119062,31/07/25,Sip,47411.95,720.9932,N,West Bengal
TXN10125,INV5157,118632,2025-08-19,redeem,90984.07,2445.998,failed,Delhi
TXN10126,INV5036,125497,18/03/22,Redemption,23862.6,408.7518,failed,Telangana
TXN10127,INV5095,119062,17-04-2025,LUMP_SUM,83452.46,1275.8618,Y,Maharashtra
TXN10128,INV5177,120841,03/21/2023,Redemption,85617.29,4519.991,pending,West Bengal
TXN10129,INV5140,120841,05/05/2022,lumpsum,12654.89,146.5993,no,Delhi
TXN10130,INV5170,118632,2025/08/07,SIP,,,Failed,Tamil Nadu
TXN10131,INV5033,118632,2022/05/21,Lumpsum,81398.77,2628.3204,InvalidStatus,Karnataka
TXN10132,INV5153,125497,22-07-2023,sip,79952.13,4019.0337,Verified,Karnataka
TXN10133,INV5004,120841,2023/05/03,Lumpsum ,0.0,,Y,Maharashtra
TXN10134,INV5033,119062,2024-12-13,REDEEM,,,no,West Bengal
TXN10135,INV5132,119551,2024/07/14,Lumpsum,4814.82,59.8185,pending,Kerala
TXN10136,INV5078,119777,2025-08-10,SIP,84806.21,1753.476,verified,Telangana
TXN10137,INV5183,119777,2022-05-31,Lumpsum ,7035.38,202.4486,pending,Haryana
TXN10138,INV5141,120841,2024/02/20,redemption,50802.33,1042.7849,InvalidStatus,Andhra Pradesh
TXN10139,INV5030,118632,05/30/2024,Lumpsum,82828.21,1805.0979,PENDING,Delhi
TXN10140,INV5081,119062,03/10/23,Lumpsum ,68838.69,1306.631,verified,Delhi
TXN10141,INV5024,119062,17/07/22,Redemp,6468.11,67.3087,N,West Bengal
TXN10142,INV5172,119551,21/04/24,redeem,42582.22,460.7172,Verified,Uttar Pradesh
TXN10143,INV5154,119092,2023-12-22,REDEMPTION,15895.65,297.6878,verified,West Bengal
TXN10144,INV5143,120841,24/08/22,REDEMPTION,43196.68,714.1492,InvalidStatus,Haryana
TXN10145,INV5158,125497,01/06/25,SIP,70418.53,1862.4992,Failed,West Bengal
TXN10146,INV5002,120503,2022/10/21,redeem,14616.53,218.2044,Verified,Delhi
TXN10147,INV5192,118632,02/10/2024,Redemption,37320.28,497.978,InvalidStatus,Haryana
TXN10148,INV5153,119551,18-04-2022,sip,5451.37,314.3388,no,Rajasthan
TXN10149,INV5109,119777,05/28/2025,LUMP_SUM,75616.84,3735.35,failed,Delhi
TXN10150,INV5073,119777,15/12/24,SIP,98452.34,6594.0964,yes,Uttar Pradesh
TXN10151,INV5055,120503,15/04/26,lumpsum,1269.13,16.4329,VERIFIED,Karnataka
TXN10152,INV5098,118632,2024/10/21,redeem,7671.51,87.6155,Verified,Gujarat
TXN10153,INV5005,119777,09/06/22,REDEMPTION,40740.08,602.5503,Y,Delhi
TXN10154,INV5104,125497,28-10-2023,Redemp,46279.64,642.1939,Failed,Delhi
TXN10155,INV5112,119551,05/14/2023,REDEMPTION,8325.39,94.2349,PENDING,West Bengal
TXN10156,INV5057,120841,15-05-2026,Sip,11845.65,211.9242,InvalidStatus,West Bengal
TXN10157,INV5090,120503,2023-04-29,sip,17763.15,747.6614,InvalidStatus,Rajasthan
TXN10158,INV5020,120503,05/02/2026,Redemption,76107.78,1510.0309,Pending,Rajasthan
TXN10159,INV5163,120841,08/07/25,sip,47157.65,705.6923,InvalidStatus,Uttar Pradesh
TXN10160,INV5152,125497,2023/12/22,Sip,45465.43,3006.9521,Y,Delhi
TXN10161,INV5166,119551,2025/06/13,redemption,58242.78,607.4497,PENDING,Maharashtra
TXN10162,INV5116,118632,2023/10/21,Redemption,95793.37,1895.1316,InvalidStatus,West Bengal
TXN10163,INV5183,119551,30-10-2024,SIP,44056.95,889.1779,N,Haryana
TXN10164,INV5041,120841,03/02/24,LUMP_SUM,34167.53,535.4596,InvalidStatus,Rajasthan
TXN10165,INV5166,120841,15/05/22,Sip,38963.14,1192.2764,pending,Haryana
TXN10166,INV5039,120841,2022/06/16,redeem,35307.17,363.644,PENDING,Rajasthan
TXN10167,INV5101,120503,2025-05-03,lumpsum,64527.58,1631.0128,VERIFIED,Rajasthan
TXN10168,INV5180,119551,08/16/2025,redemption,36578.47,1394.865,yes,West Bengal
TXN10169,INV5197,119777,29-01-2023,sip,29931.31,369.8382,N,Kerala
TXN10170,INV5190,125497,17/09/25,Redemp,59926.02,2509.176,VERIFIED,Andhra Pradesh
TXN10171,INV5198,120503,01/16/2026,SIP,67798.11,2160.7087,no,Haryana
TXN10172,INV5073,119777,2023/04/25,Lumpsum,80958.08,1550.5823,yes,West Bengal
TXN10173,INV5174,119777,03/08/24,Redemp,52982.25,546.4108,yes,Haryana
TXN10174,INV5036,119092,04/17/2022,Lumpsum ,10707.68,124.3195,verified,Uttar Pradesh
TXN10175,INV5022,120503,07/13/2023,redemption,44028.52,462.5953,yes,Telangana
TXN10176,INV5090,125497,2024-04-29,LUMP_SUM,23959.92,240.7856,Failed,Tamil Nadu
TXN10177,INV5008,120841,22/07/22,Redemp,4311.17,46.5742,no,Andhra Pradesh
TXN10178,INV5036,119777,2024/07/07,SIP,2390.89,81.2981,VERIFIED,Kerala
TXN10179,INV5187,119062,16/08/22,Lumpsum,5251.07,109.8911,InvalidStatus,Haryana
TXN10180,INV5118,119551,08/16/2022,REDEMPTION,63379.52,1026.318,PENDING,Karnataka
TXN10181,INV5075,119062,2022/01/04,Lumpsum ,41948.48,601.0378,verified,Kerala
TXN10182,INV5093,119551,2024/12/13,redemption,51008.45,4311.7559,no,Maharashtra
TXN10183,INV5163,119062,04/02/24,REDEEM,0.0,,InvalidStatus,Delhi
TXN10184,INV5089,118632,2026-02-10,Redemp,75789.55,3443.9052,Failed,Kerala
TXN10185,INV5087,120503,05/15/2026,REDEEM,18636.66,841.8885,PENDING,Telangana
TXN10186,INV5010,119092,2023-02-17,Redemp,4669.64,49.6752,N,Gujarat
TXN10187,INV5140,119777,2023-06-03,Redemp,28968.03,330.7137,Verified,Rajasthan
TXN10188,INV5085,119092,12/09/22,LUMP_SUM,74459.12,822.5948,failed,West Bengal
TXN10189,INV5048,119777,11/18/2025,Lumpsum ,52167.95,635.3939,PENDING,Gujarat
TXN10190,INV5021,119062,18-05-2025,redemption,10708.49,271.0132,Y,Uttar Pradesh
TXN10191,INV5115,119062,12/08/2022,Lumpsum ,72818.03,791.1164,Pending,Gujarat
TXN10192,INV5071,125497,06/03/2022,Lumpsum ,75114.85,3078.6282,Verified,Karnataka
TXN10193,INV5156,119777,13-03-2022,Sip,64693.71,1518.8616,Pending,Maharashtra
TXN10194,INV5155,120503,10/22/2025,Lumpsum ,76426.9,1239.6307,N,West Bengal
TXN10195,INV5102,120841,23/08/25,Lumpsum,3078.38,115.104,N,Gujarat
TXN10196,INV5144,119551,21/06/23,REDEEM,99638.33,2790.8396,no,Tamil Nadu
TXN10197,INV5032,120503,06/01/2022,sip,44788.56,2501.9911,pending,West Bengal
TXN10198,INV5171,120841,2025-12-24,redemption,89187.5,1029.6102,PENDING,Andhra Pradesh
TXN10199,INV5180,120503,2024/01/11,Lumpsum,20497.55,911.046,InvalidStatus,Telangana
TXN10200,INV5007,120841,2025/02/08,Lumpsum ,98309.69,4534.7031,verified,Delhi
TXN10201,INV5080,119062,01/08/2026,redemption,41238.64,667.9291,VERIFIED,West Bengal
TXN10202,INV5165,119551,07/10/2024,redeem,13269.29,156.8199,N,Rajasthan
TXN10203,INV5151,120503,22-04-2026,LUMP_SUM,86887.06,1024.3075,N,Karnataka
TXN10204,INV5078,120503,28/11/22,REDEEM,94774.57,1671.4855,Y,Delhi
TXN10205,INV5065,118632,2025/07/24,lumpsum,30631.05,528.003,N,Rajasthan
TXN10206,INV5044,120503,2022/12/17,REDEEM,34093.15,365.9882,Verified,Maharashtra
TXN10207,INV5021,125497,2025/08/06,lumpsum,76812.42,1617.3484,pending,Maharashtra
TXN10208,INV5128,119092,07/08/25,Redemption,80831.26,1736.5019,no,Delhi
TXN10209,INV5177,125497,11/20/2022,LUMP_SUM,20800.29,321.9888,Failed,Andhra Pradesh
TXN10210,INV5082,120841,27-03-2024,Redemp,56384.3,1456.1899,no,Delhi
TXN10211,INV5069,119777,23-05-2023,Sip,,,failed,Haryana
TXN10212,INV5108,118632,24/11/22,REDEMPTION,19388.49,796.5423,N,Telangana
TXN10213,INV5128,119092,2024-10-15,Sip,50791.72,523.6163,yes,Haryana
TXN10214,INV5091,125497,14/04/22,Redemption,84363.54,1196.1903,Y,Kerala
TXN10215,INV5003,119551,01-06-2024,lumpsum,76503.75,1781.877,failed,Maharashtra
TXN10216,INV5146,118632,2024/01/13,lumpsum,50673.43,643.0935,Y,Haryana
TXN10217,INV5175,119551,2022-09-21,LUMP_SUM,98685.37,1639.1594,Failed,Karnataka
TXN10218,INV5051,119062,2024-10-21,SIP,-2828.0,,InvalidStatus,Telangana
TXN10219,INV5133,119777,2022/11/02,redemption,93171.19,2409.5352,failed,Haryana
TXN10220,INV5190,119092,30/04/25,redemption,53467.81,724.6278,Y,Telangana
TXN10221,INV5005,120841,2023-11-10,LUMP_SUM,79777.1,1059.7499,PENDING,Rajasthan
TXN10222,INV5007,119777,2023/06/28,REDEMPTION,5609.84,105.3681,N,Rajasthan
TXN10223,INV5185,119062,30-10-2022,SIP,70201.83,2583.7434,no,West Bengal
TXN10224,INV5108,120503,25-04-2024,LUMP_SUM,61342.07,1169.6571,PENDING,Andhra Pradesh
TXN10225,INV5016,120503,28-11-2024,redemption,66391.57,1158.8088,Failed,Karnataka
TXN10226,INV5118,120841,23/01/25,redeem,72231.99,1063.8337,PENDING,Uttar Pradesh
TXN10227,INV5157,119777,29-01-2023,lumpsum,22874.27,234.4589,Y,Uttar Pradesh
TXN10228,INV5181,118632,11/14/2025,Lumpsum ,56268.52,597.9417,PENDING,Uttar Pradesh
TXN10229,INV5074,119551,2025/03/20,LUMP_SUM,39755.98,968.1911,InvalidStatus,Karnataka
TXN10230,INV5075,125497,2023-08-13,Lumpsum ,65769.22,851.2662,yes,Tamil Nadu
TXN10231,INV5138,119092,25/02/25,sip,74218.65,2353.5038,Verified,Rajasthan
TXN10232,INV5136,118632,30-07-2025,SIP,33364.22,635.3111,pending,Karnataka
TXN10233,INV5002,120503,04/13/2024,Redemption,75713.15,2111.8219,Y,Rajasthan
TXN10234,INV5016,119551,2025/08/28,Lumpsum,72450.21,768.2929,VERIFIED,Gujarat
TXN10235,INV5046,125497,03/24/2024,sip,96232.07,1030.9448,Verified,Maharashtra
TXN10236,INV5077,119551,18/11/23,Redemption,54558.4,1001.9518,VERIFIED,Kerala
TXN10237,INV5120,119092,2023-01-30,Lumpsum ,46161.99,1392.3573,VERIFIED,Maharashtra
TXN10238,INV5189,120841,2023/08/28,redeem,17961.74,206.3306,failed,Gujarat
TXN10239,INV5132,120841,06/27/2022,redeem,98177.68,1853.4278,yes,Maharashtra
TXN10240,INV5067,119062,04/28/2023,Redemp,33297.72,533.4338,Pending,Maharashtra
TXN10241,INV5067,120841,19-11-2025,SIP,46806.8,1920.3172,pending,Kerala
TXN10242,INV5181,119092,2025-11-14,redeem,29856.24,457.1025,yes,Karnataka
TXN10243,INV5123,120503,2024/07/20,Lumpsum ,55148.83,1052.9705,N,Rajasthan
TXN10244,INV5056,118632,2025/10/25,Redemp,44951.42,612.927,verified,Haryana
TXN10245,INV5029,125497,2025/01/26,Lumpsum,15410.31,389.8326,N,Telangana
TXN10246,INV5030,118632,2026/01/08,Redemption,51282.35,619.4846,no,Karnataka
TXN10247,INV5132,119062,2024/07/24,SIP,67440.39,1787.1982,Verified,Gujarat
TXN10248,INV5066,125497,08-03-2026,REDEMPTION,42657.89,584.0775,N,Maharashtra
TXN10249,INV5018,119777,06/03/22,LUMP_SUM,13975.17,206.3144,PENDING,Rajasthan
TXN10250,INV5108,120841,02/23/2024,LUMP_SUM,68431.67,983.7603,N,Karnataka
TXN10251,INV5168,120841,31-08-2022,redemption,13171.04,134.2816,Verified,Maharashtra
TXN10252,INV5077,119777,2025/10/11,LUMP_SUM,82424.36,2553.7287,Failed,Karnataka
TXN10253,INV5071,118632,2026-01-24,SIP,42214.44,534.7336,Verified,Tamil Nadu
TXN10254,INV5053,119551,2022/07/26,SIP,67366.35,761.2093,yes,Andhra Pradesh
TXN10255,INV5012,119062,17-06-2024,redemption,86441.16,5732.1864,N,Uttar Pradesh
TXN10256,INV5060,120841,2025/03/28,Redemp,32406.18,872.0998,VERIFIED,Rajasthan
TXN10257,INV5134,118632,26/04/24,lumpsum,,,Pending,Andhra Pradesh
TXN10258,INV5045,119062,02/12/2025,SIP,94187.85,1337.4999,InvalidStatus,Kerala
TXN10259,INV5082,119062,16-04-2024,lumpsum,75564.4,1436.1298,yes,Uttar Pradesh
TXN10260,INV5182,120503,2024-08-06,redemption,41942.53,726.9162,failed,Tamil Nadu
TXN10261,INV5066,118632,2023-11-08,Redemption,9700.17,128.97,yes,Maharashtra
TXN10262,INV5069,119062,2025/10/11,REDEMPTION,-696.0,,yes,Haryana
TXN10263,INV5186,118632,08-09-2024,Lumpsum ,90944.92,3129.2661,yes,Andhra Pradesh
TXN10264,INV5031,119777,2023/05/12,REDEEM,91555.08,1533.9164,InvalidStatus,Uttar Pradesh
TXN10265,INV5098,119777,28/12/24,lumpsum,51525.25,941.0153,verified,Andhra Pradesh
TXN10266,INV5121,120841,21/02/23,Lumpsum ,56471.21,1887.7431,VERIFIED,Maharashtra
TXN10267,INV5067,119062,28-08-2023,Lumpsum,38294.06,450.5043,no,Kerala
TXN10268,INV5168,120841,06/12/2023,REDEEM,49314.26,1961.5053,InvalidStatus,West Bengal
TXN10269,INV5044,120503,2026/01/15,Redemption,88991.77,897.7359,Verified,Kerala
TXN10270,INV5009,119551,2025-09-30,Redemp,0.0,,VERIFIED,Rajasthan
TXN10271,INV5060,119551,19-12-2025,SIP,45872.96,2970.9484,pending,Rajasthan
TXN10272,INV5158,119777,09/12/2025,SIP,0.0,,N,Gujarat
TXN10273,INV5004,125497,20/12/24,redemption,2205.69,26.5157,pending,Gujarat
TXN10274,INV5046,119551,2022/07/17,sip,62168.19,1900.143,Failed,Uttar Pradesh
TXN10275,INV5102,119551,02/04/2024,Redemption,99028.19,3265.3309,pending,Delhi
TXN10276,INV5168,125497,07/11/2022,LUMP_SUM,47862.51,711.104,PENDING,Karnataka
TXN10277,INV5022,119777,07/06/24,REDEMPTION,97397.05,1075.8395,Verified,Tamil Nadu
TXN10278,INV5055,119777,2023-07-10,Sip,28397.11,482.3472,pending,Maharashtra
TXN10279,INV5046,120841,02-02-2022,REDEMPTION,82158.73,979.4652,verified,Uttar Pradesh
TXN10280,INV5042,118632,03/06/2025,redeem,33507.12,429.5518,VERIFIED,Andhra Pradesh
TXN10281,INV5186,119551,22/10/24,SIP,23598.33,1401.1894,Pending,Haryana
TXN10282,INV5153,119062,04/05/26,SIP,78463.04,1552.2016,yes,West Bengal
TXN10283,INV5142,119062,03-06-2024,redeem,38317.23,482.0076,Y,Tamil Nadu
TXN10284,INV5183,119551,18/06/22,sip,78497.08,3286.4703,failed,West Bengal
TXN10285,INV5093,119551,2022-07-07,lumpsum,76253.98,3971.3903,verified,Karnataka
TXN10286,INV5111,119777,2025/02/14,redemption,3113.06,74.3821,verified,Haryana
TXN10287,INV5154,120841,2024-02-28,lumpsum,78027.33,1037.1017,N,Tamil Nadu
TXN10288,INV5147,120503,11/04/2025,sip,30462.56,560.1676,verified,Karnataka
TXN10289,INV5112,119092,12/05/24,Redemption,36431.93,383.5747,PENDING,Rajasthan
TXN10290,INV5127,118632,2024-07-26,sip,94907.93,2378.6717,Pending,Gujarat
TXN10291,INV5085,119777,11/17/2023,redeem,14044.38,361.4109,PENDING,Tamil Nadu
TXN10292,INV5123,120841,12/30/2022,Lumpsum ,69648.3,1285.2455,Pending,Tamil Nadu
TXN10293,INV5084,119062,07/29/2023,Lumpsum ,56603.13,894.1981,N,Karnataka
TXN10294,INV5175,125497,01/29/2026,REDEEM,79869.71,941.6892,verified,Gujarat
TXN10295,INV5173,119777,13/10/22,Lumpsum,15837.25,329.3833,failed,Delhi
